state,year,originations,baseline_2007,recovery_ratio
,2012,26555,,
72,2012,30059,,
AK,2012,21705,,
AL,2012,97741,,
AR,2012,60318,,
AZ,2007,191702,191702,1.0
AZ,2008,126264,191702,0.658647275458785
AZ,2009,159736,191702,0.8332516092685522
AZ,2010,131240,191702,0.6846042294811739
AZ,2011,113569,191702,0.5924247008377586
AZ,2012,196128,191702,1.0230879177056056
AZ,2013,174150,191702,0.9084412264869433
AZ,2014,122354,191702,0.6382510354612889
AZ,2015,163237,191702,0.8515143295322949
AZ,2016,197452,191702,1.0299944705845532
AZ,2017,172980,191702,0.902338003776695
CA,2007,823528,823528,1.0
CA,2008,524283,823528,0.6366304485093403
CA,2009,852385,823528,1.0350407029269193
CA,2010,854801,823528,1.0379744222418668
CA,2011,764200,823528,0.9279587336435434
CA,2012,1163441,823528,1.412752207575213
CA,2013,926511,823528,1.1250510000874288
CA,2014,599068,823528,0.7274409613273622
CA,2015,810967,823528,0.9847473309954246
CA,2016,966203,823528,1.173248511283162
CA,2017,686939,823528,0.8341416442428187
CO,2007,141921,141921,1.0
CO,2008,126453,141921,0.8910097871350963
CO,2009,207003,141921,1.4585790686367768
CO,2010,179049,141921,1.261610332508931
CO,2011,148072,141921,1.0433410136625305
CO,2012,219967,141921,1.5499256628687792
CO,2013,189731,141921,1.3368775586417796
CO,2014,136561,141921,0.9622325096356423
CO,2015,189094,141921,1.3323891460742243
CO,2016,221075,141921,1.5577328231903664
CO,2017,175442,141921,1.2361947844223196
CT,2012,101812,,
DC,2012,20382,,
DE,2012,24918,,
FL,2007,482327,482327,1.0
FL,2008,251124,482327,0.5206509276901355
FL,2009,259897,482327,0.5388398327275894
FL,2010,237765,482327,0.49295395032830425
FL,2011,228650,482327,0.47405598276687805
FL,2012,369806,482327,0.7667122097664033
FL,2013,360836,482327,0.7481148681288835
FL,2014,268556,482327,0.5567923835903857
FL,2015,341206,482327,0.7074163378786591
FL,2016,405641,482327,0.8410082786159597
FL,2017,386661,482327,0.8016573818177295
GA,2012,227072,,
HI,2012,30352,,
IA,2012,91198,,
ID,2012,45931,,
IL,2007,334658,334658,1.0
IL,2008,271161,334658,0.8102630147792672
IL,2009,389548,334658,1.1640181917061596
IL,2010,337798,334658,1.0093827130981479
IL,2011,276990,334658,0.8276807965146508
IL,2012,371885,334658,1.1112389364664823
IL,2013,290289,334658,0.867419873423017
IL,2014,189810,334658,0.5671760424074727
IL,2015,238976,334658,0.7140902055232506
IL,2016,270193,334658,0.80737050959487
IL,2017,217650,334658,0.6503654477107973
IN,2012,184189,,
KS,2012,71070,,
KY,2012,102923,,
LA,2012,83812,,
MA,2012,243630,,
MD,2012,193093,,
ME,2012,31272,,
MI,2007,195503,195503,1.0
MI,2008,145071,195503,0.7420397640956916
MI,2009,190884,195503,0.9763737640854616
MI,2010,172938,195503,0.8845797762694179
MI,2011,166499,195503,0.8516442202932948
MI,2012,270939,195503,1.3858559715196186
MI,2013,234994,195503,1.2019969003033202
MI,2014,158275,195503,0.8095783696413866
MI,2015,192454,195503,0.9844043313913341
MI,2016,217712,195503,1.113599279806448
MI,2017,192556,195503,0.9849260625156647
MN,2012,191740,,
MO,2012,172201,,
MS,2012,42692,,
MT,2012,24388,,
NC,2012,237369,,
ND,2012,19219,,
NE,2012,56103,,
NH,2012,40567,,
NJ,2012,231395,,
NM,2012,41863,,
NV,2007,71789,71789,1.0
NV,2008,47592,71789,0.6629427906782376
NV,2009,59018,71789,0.8221036649068799
NV,2010,46868,71789,0.6528576801459833
NV,2011,39495,71789,0.550153923303013
NV,2012,67489,71789,0.9401022440763905
NV,2013,62013,71789,0.8638231483932078
NV,2014,48975,71789,0.682207580548552
NV,2015,67526,71789,0.9406176433715472
NV,2016,82147,71789,1.1442839432224994
NV,2017,73984,71789,1.0305757149424006
NY,2007,267124,267124,1.0
NY,2008,187352,267124,0.7013671553286114
NY,2009,238498,267124,0.8928362857699046
NY,2010,211427,267124,0.7914938380677139
NY,2011,194853,267124,0.7294477471137
NY,2012,234472,267124,0.8777646336532846
NY,2013,217218,267124,0.8131729084619876
NY,2014,151337,267124,0.566542130246627
NY,2015,176340,267124,0.6601428550036688
NY,2016,192374,267124,0.720167412886899
NY,2017,180674,267124,0.6763675296865875
OH,2007,217168,217168,1.0
OH,2008,181549,217168,0.8359841228910336
OH,2009,278627,217168,1.2830020997568703
OH,2010,254848,217168,1.1735062255949311
OH,2011,216532,217168,0.9970713917335887
OH,2012,298233,217168,1.3732824357179696
OH,2013,261635,217168,1.2047585279599204
OH,2014,169594,217168,0.7809345759964635
OH,2015,198987,217168,0.9162814042584543
OH,2016,224852,217168,1.035382745155824
OH,2017,201088,217168,0.9259559419435645
OK,2012,74828,,
OR,2012,117205,,
PA,2012,300155,,
RI,2012,28136,,
SC,2012,104275,,
SD,2012,23626,,
TN,2012,148999,,
TX,2007,437944,437944,1.0
TX,2008,351672,437944,0.8030067771221892
TX,2009,439564,437944,1.0036991030816727
TX,2010,397126,437944,0.9067963027236359
TX,2011,383354,437944,0.8753493597354913
TX,2012,494455,437944,1.1290370458323438
TX,2013,493548,437944,1.126966004786
TX,2014,383003,437944,0.8745478874011289
TX,2015,450316,437944,1.028250187238551
TX,2016,499792,437944,1.1412235354291873
TX,2017,443485,437944,1.0126523025774985
UT,2012,106938,,
VA,2012,283587,,
VT,2012,16687,,
WA,2007,208290,208290,1.0
WA,2008,160530,208290,0.7707043064957512
WA,2009,250113,208290,1.2007921647702722
WA,2010,207766,208290,0.9974842767295597
WA,2011,171500,208290,0.8233712612223343
WA,2012,240754,208290,1.1558596188007106
WA,2013,197070,208290,0.9461327956214892
WA,2014,130943,208290,0.6286571606894235
WA,2015,178378,208290,0.8563925296461664
WA,2016,216777,208290,1.0407460751836382
WA,2017,182913,208290,0.8781650583321331
WI,2012,212233,,
WV,2012,28432,,
WY,2012,14905,,
